related_event,title,text,date
event_18,"Longneau, Frankreich","[7. September]
In Longneau angekommen. 21. September: Sah Flugzeuge kämpfen. Das deutsche war der grösste Doppeldecker der Welt, aber das britische flog darüber und drängte den Feind mit Maschinengewehren ab. 
[9. Oktober] 
Billy Coutts aus Versehen von Maschinengewehr getötet. Konzert in der Scheune, gut. Charlie Chaplin. 
[13. Oktober] 
Gasmasken-Inspektion. Bombardiert, als wir die Schützengräben betraten, machte einen Höllenlärm. Ganze Nacht auf dem Posten im Kommunikationsgraben, mit Deutschen am anderen Ende, 15 Yards entfernt. Konnte sie husten hören, reden und Gewehre sichern.",07.09.1915
event_19,"Kilkis, Griechenland","[4. März]
Routenmarsch entlang französischer Front und über Akbunar, ausgezeichnete Aussicht auf die bulgarische Grenze und auf Salonica. 
[3. April] 
Inspektion von General Gordon, Cholera-Impfung, Umzug in Zelte. 
[24. April] 
Wieder auf dem Weg um 7 Uhr 45, an Kukush vorbei, viele Ruinen vom Balkankrieg 1912. Sah Einheimische Tabak trocknen. Drei Meilen westlich von Kukush in einem Tal biwakiert, sehr heiss. 
[25. Mai] 
Mein Geburtstag. Einen Damm gebaut, zwei Pakete von zu Hause bekommen, sah Bulgaren etwas beschiessen, 10 Meilen weg. Sehr heiss. Cowney wurde von einem Skorpion gebissen.",21.02.1916
event_20,"Kilkis, Griechenland","[1. Juni]  
Arbeit an den Janis-Gräben, betrunkener französischer Artillerist läuft Amok. Bulgaren beschiessen unseren Schienenkopf. 
[6. Juni] 
Billy Wales trifft seinen Fuss mit einer Hacke und wird ins Spital von Salonica geschickt. 
[7. Juni] 
Gesellschaftstag. Cardwell schiesst sich mit Leutnant James' Revolver ins Bein. 
[15. Juni] 
Unterwegs, Bombenopfer begraben, sehr heisser Wind. 
[16. Juni] 
Fahrt nach Kukus, gute Mahlzeit mit Lamm, Bohnen, Rotwein und ein paar Flaschen Samos (Muskateller) und einigen ganz passablen Zigarren, am Abend hatten wir eine Mahlzeit aus Dosenfrüchten und mehr Samos.",31.05.1916
event_21,"Thessaloniki, Griechenland","[2. Juli] 
Kirchenparade, ruhiger Tag, Korporal Williams gewinnt den Schwergewichtswettbewerb. 
[26. Juli]
Gewöhnliche Arbeit, Soldatenmäntel übergeben, Shorts ausgestellt, grosses Luftschiff über Salonica gesehen und ein riesiges französisches Spitalschiff im Hafen, Gerüchte eines Umzugs. 
[30. Juli] 
Wecksignal um 3 Uhr früh, Abzug um 5 Uhr 45, schreckliche Reise nach Akbunar über ein Tobel in einen Fluss, Beschuss in der Nähe von Materhorn, Galika führt Hochwasser, unmöglich zu überqueren, Strassen in schrecklichem Zustand, biwakieren südlich von Amberkoy. Was für ein Tag, Sonntag auch. ",01.07.1916
event_22,"Dojran, Mazedonien","[17. August]
Sah Fallschirm eines französischen Überwachungsballons. 
[18. August] 
Um 5 Uhr morgens von gegnerischem Flugzeug angegriffen, ungefähr 12 Bomben in der Nähe eingeschlagen, keine Toten ausser ein paar Pferden in der Munitionskolonne. Am Abend scharfe Kugelgranaten geworfen. 
[19. August] 
Von 7 Uhr früh an auf Feuerpikett, ereignisloser Tag, sah bulgarische 150-Pfund-Granaten explodieren.",17.08.1916
event_23,"Dojran, Mazedonien","[3. September]  
Zweiter Jahrestag des Armeebeitritts und erster Jahrestag des Aktivdienstes. Das beendet mein bisher ereignisreichstes Jahr. Obwohl wir an zwei Fronten auf den Feind getroffen sind und unsere Kompanie in den Feuergräben war, wenn immer wir an der Front waren, waren unsere Verluste extrem klein. Obwohl, seit wir in Mazedonien sind, hatten wir viele Krankheiten, Typhus, Malaria, Fieber, Dysenterie und Erfrierungen. Insgesamt hatten wir grosses Glück und hoffen, das zweite Jahr im Aktivdienst wird genauso gut zu uns sein und dass wir den Tag des Friedens vor dem Ende sehen werden.",28.08.1916
event_24,"Dojran, Mazedonien","[13. November] 
Unsere Patrouille fand zwei Leichen von Männern der 65. Brigade. 
[16. November]
Sehr nass, guter Schützengraben, schlimme Erkältung, guter Schlaf. 
[26. November] 
Starte mein erstes ordnungsgemässes Artilleriebombardement als Korporal. Erbitterter Widerstand, eroberten Graben mit 60 Toten, Graben voller bulgarischer Leichen, Gruppe zurück für die Verletzten und Wegfahrpatrouille, ein Gefangener. 
[6. Dezember]
Der Regen fällt weiter, Schützengraben in schrecklichem Zustand, Feind beschiesst unsere Gräben, wir hören den Feind jubeln, weil Bukarest gefallen ist.",01.11.1916
event_25,"Dojran, Mazedonien","[25. Dezember] 
Weihnachten. Viel Zeug aus Salonica, Früchte und anderes Büchsenzeug, eine Portion Truthahn und Pudding, Besuch von Gräbern auf dem Friedhof Smol. Viel Luftaktivität, aber sonst sehr ruhig, wunderschönes Wetter, lustiger Gesang am Abend. 
[31. Dezember] 
Ruhiger Tag, keine Arbeitsgruppe. Um 12 Uhr nachts feierte die Artillerie das neue Jahr, indem sie plötzlich das Feuer mit jeder Waffe im Sektor eröffnete. Zuvor war aus den feindlichen Gräben viel Gesang zu hören gewesen, aber das hörte bald auf.",12.12.1916
event_27,"Dojran, Mazedonien","[9. Februar] 
Schneefall, Rückzug zum Lager bei Aerovica, Zelte. 
[10. Februar]
Besuch bei Jock mit vergiftetem Finger, keine Parade. 
[11. Februar]
Ruhiger Tag, hatte Hand verbunden. 
[18. Februar] 
Jock entfernt meinen Nagel und macht mir während fünf Minuten die Hölle heiss. Übernehme Ordonnanzkorporal. 
[20. Februar]
Jock öffnet meine Hand wieder. Kapitän Guthrie Morgan und Dr. Jock McCash bekommen Militärkreuze. Drei deutsche Häftlinge gefangen, 17 Verluste, ein Offizier und ein Mann vermisst.",01.02.1917
event_28,"Dojran, Mazedonien","[13. Mai] 
Abtreten um 5 Uhr 30, mit Maschinengewehren auf bulgarische Heckenschützen geschossen. Bauen Biwak an neuer Position auf. Raucher-Notlage, rauchen Zigaretten aus «Briars» und Balkan-Nachrichten. 
[21. Mai] 
Ausrüstung und so weiter überprüft. Major Jones erzählt von bevorstehenden Operationen, Luff, Beynon und ich bemühen uns um Schlangen und finden ein paar, die Frösche essen. 
[25. Mai]
Bin heute 26, wasche Kleider und bin bis Mitternacht in der Arbeitsgruppe. Ich nehme an, Letzteres, um den Festtag zu zelebrieren.",13.05.1917
event_29,"Dojran, Mazedonien","[6. August] 
Malaria vorherrschend. Wir haben über 100 Fälle runtergeschickt, seit wir auf dieser Position sind. Tommy Priddle tot, Gus Thomas an den Beinen verwundet. Der Feind bombardiert weiterhin, viel schweres Zeug in der Nähe des Lagers. 
[11. August] 
Faulenze den ganzen Tag im Lager, heftige Kopfschmerzen von der Belastung von 23 Tagen in den Schützengräben, Bad. 
[12. August] 
Marschiere 2 Meilen vor dem Frühstück für ein heisses Bad und eine Dusche, sammle viele Brombeeren für Eintopf.
",06.08.1917
event_30,"Dojran, Mazedonien","[23. September] 
Die Bulgaren haben eine Gruppe runtergeschickt, um den Posten zu bombardieren. Eine Bombe ist unter uns gelandet, hat mich am Bauch und am Oberschenkel getroffen. Hatte eine schreckliche Reise runter zur Feldartillerie, habe die Nacht dort verbracht und wurde im Motorfahrzeug nach Janis gebracht. Sofort operiert. Die ersten 7 Nächte waren schrecklich, grosse Schmerzen und ständige Injektionen von Morphium. 
[28. September]
Überrascht, mich auf der Bahre wiederzufinden. Lange, holprige Fahrt im Motorwagen zur Küste",23.09.1917
event_31,"Valletta, Malta","[14. November] 
Gehe rüber nach Valletta, um in die Läden zu schauen, Stadt voller französischer und japanischer Matrosen. 
[28. November] 
Schnitt im Abdomen läuft immer noch aus und blutet etwas. 
[29. November]
Ruhiger Tag, Spaziergang am Nachmittag, Kino am Abend. Nierenschmerzen. 
[25. Dezember] 
Gutes Weihnachtsessen, Poulet, Gemüse, Artischockensauce, Weihnachts-Pudding, Brandy-Sauce, Götterspeise und Ale. 
[26. Dezember] 
Gehe am Nachmittag an Bord der HMS «Formosa». Baron Methuen kommt und sagt Lebewohl. 
[7. Januar] 
Ankunft in Bristol um 17 Uhr 30.",14.11.1917
event_32,"Bristol, England","[8. Januar] 
Von Arzt untersucht und fürs Röntgen markiert. Sehe Mutter und Vater zum ersten Mal seit 2,5 Jahren. 
[21. Januar]
Aus dem Spital entlassen und nach Hause für Ferien. 
[30. Januar] 
Ende der Ferien, melde mich in der Cardiff-Kaserne zum Dienst. Habe gute Zeit dort, Führungsaufgaben als Ordonnanzkorporal, kann jeden Abend um 16 Uhr gehen, ausser für gelegentliche Wachdienste. 
[28. Februar] 
Gehe zum Arzt, lege eine sehr gute Prüfung ab und werde in die 3. Division eingestuft, übernehme Posten als Assistenz-Ordonnanzkorporal.",08.01.1918
event_33,"Prescot, England","[6. März] 
Werde in die Division 2 herabgesetzt, mache kurzen Marsch, Arbeitsuniform, ärztliche Untersuchung und Fussball, mache viele Ausflüge nach Liverpool und St. Helens, Zahnbehandlung. 
[13. März] 
Wieder vor dem Arzt, wieder auf 2 herabgesetzt. 
[19. März] 
Erhalte Brief von Dorothy, sehr aufgebracht.",06.03.1918
event_34,"Redcar, England","[27. März] 
Wieder auf 2 herabgesetzt. 
[24. April] 
Zurück in Division 3 versetzt. 
[28. Mai] 
Verlasse Prescot und mache bei der Reserveeinheit in Redcar weiter, sehr ermüdende Fahrt, 2 Stunden warten in Liverpool und Leeds, komme nach 12-stündiger Reise an. 
[29. Mai] 
Impfung und medizinische Untersuchung für Arbeitsklassifizierung, als «unklassifiziert» gekennzeichnet.",27.03.1918
event_35,"Cardiff, Wales","[18. Juli] 
Breche nach Cardiff auf, Bon für halben Fahrpreis, gute Verbindung trotz schlechtem Wetter. 
[6. September] 
Medizinische Untersuchung, Kategorie auf B11 angehoben.",18.07.1918